Yerba Mate Terere Rancho,1,13.80,0.00,0.00,0.05
Yerba Mate Terere Amigo,1,15.80,0.00,0.00,0.05
Yerba Mate Amigo,1,15.80,0.00,0.00,0.05
Yerba Mate Rancho,1,13.80,0.00,0.00,0.05
Bancha Kyoto Bio,2,16.80,13.80,58.00,0.83
Bi Luo Chung Tai Hu Spiralki Wiosny,2,19.80,16.80,0.00,1.00
Bomba Kwiatowa ,2,0.00,14.80,6.50,0.00
Che Xanh,2,13.80,11.80,0.00,0.23
Chun Mei Cha Drogocenne Brwi,2,9.80,0.00,0.00,0.20
Dian Lu Cha Zielony Yunnan,2,12.80,0.00,0.00,0.27
Dian Lu Wenshan Mao Feng Cha Wspomnienie o Królu Herbaty,2,18.80,15.80,0.00,0.85
Genmaicha Kyoto BIO,2,16.80,13.80,51.00,0.73
Gui Hua Cha Osmanthus,2,16.80,13.80,0.00,0.35
Gyokuro Kyoto,2,24.80,21.80,95.00,1.90
Hagiang ancient green tea (Wietnam),2,17.80,14.80,0.00,0.50
Hojicha Kyoto Bio,2,16.80,13.80,40.00,0.80
Kabukicha Bio,2,0.00,21.80,80.00,1.60
Kamacha Ureshino Bio,2,19.80,17.80,70.00,1.00
Kukicha Kyoto Bio,2,16.80,13.80,55.00,0.79
Kyoto Kinnen,2,13.80,0.00,0.00,0.00
Long Jing Tygrysie Źródło,2,21.80,18.80,0.00,01.09
Lu Mu Dan,2,12.80,0.00,6.00,0.00
Lu'an Gua Pian Nasiona Arbuza,2,19.80,16.80,0.00,1.00
Lushan Yun Wu Obłoki i mgła z Gór Zielonych,2,14.80,11.80,0.00,0.60
Matcha iri Genmaicha Bio,2,19.80,16.80,0.00,0.00
Matcha iri Sencha Bio,2,21.80,17.80,0.00,0.00
Matcha Kyoto Bio,2,27.80,0.00,85.00,0.00
Matcha Kyoto Natural,2,0.00,0.00,60.00,1.20
Moli Hua Cha,2,12.80,0.00,45.00,0.25
Nokcha DARACK,2,26.80,23.80,110.00,2.75
Nokcha Sejak,2,22.80,18.80,95.00,1.90
Putuo Fo Cha Herbata Buddy,2,24.80,21.80,39.00,1.95
Que She Jian Ptasi Języczek,2,16.80,13.80,25.00,0.33
Sencha Kyoto Bio,2,18.80,15.80,69.00,1.00
Sincha,2,24.80,21.80,90.00,
Tai Mu Long Zhu Smocze Oczy,2,19.80,16.80,0.00,0.90
Tamaryokucha Ureshino Tamara,2,19.80,17.80,70.00,1.00
Tai Mu Long Zhu Moli Smocze Oczy Jaśminowe,2,20.80,17.80,0.00,0.95
Weishan Mao Jian Zachmurzone Szczyty,2,16.80,13.80,0.00,0.60
Wydma Pustynna,2,13.80,0.00,29.00,0.00
Wydma Pustynna w zestawie,2,17.00,0.00,0.00,0.00
Yamacha Hamamatsu,2,20.80,17.80,79.00,1.58
Zhu Cha Herbata Perłowa,2,9.80,0.00,25.00,0.23
Magnolia Mao Jian,2,17.80,14.80,0.00,0.40
Birma Wild Green Khar Chauk,2,15.80,12.80,0.00,0.40
Zhu Cha Pingsui,2,15.80,12.80,35.00,0.00
Assam Brahmaputra,3,12.80,0.00,28.00,0.25
Assam CTC Kundalimukh,3,9.80,0.00,0.00,0.17
Ceylon Adam’s Peak FOP I,3,10.80,0.00,16.00,0.20
Ceylon Earl Grey,3,12.80,0.00,16.00,0.00
Ceylon Muslim Tea,3,5.80,0.00,16.00,0.00
Ceylon Tiger River FOP I,3,10.80,0.00,16.00,0.20
Czaj Czaje Czaj !,3,14.80,0.00,0.00,0.00
Czajszana BOP,3,8.80,0.00,0.00,0.20
Darjeeling First Flush,3,21.80,0.00,0.00,01.09
Darjeeling Himalaje,3,13.80,0.00,32.00,0.25
Darjeeling Autumnal,3,18.80,0.00,0.00,0.00
Darjeeling Second Flush,3,18.80,0.00,0.00,0.78
Herbata Edwarda Leara,3,12.80,0.00,0.00,0.25
Hagiang  Ancient Black,3,17.80,14.80,0.00,0.50
Herbata Babuni,3,15.80,0.00,0.00,0.00
Herbata K.H. Machy,3,12.80,0.00,0.00,0.25
Kenya FOP,3,12.80,0.00,0.00,0.25
Nepal Ilam Bio,3,13.80,0.00,0.00,0.39
Nepal Kuwapani,3,13.80,0.00,0.00,0.39
Nilgiri Siva,3,12.80,0.00,0.00,0.23
Rize Cay,3,18.80,0.00,48.00,0.00
Rosyjska Karawana,3,13.80,0.00,0.00,0.00
Rwanda Black Ortodox Bio,3,15.80,12.80,0.00,0.40
Tygrys Malajski,3,12.80,0.00,0.00,0.25
Wooricha (Pariocha),3,24.80,21.80,90.00,1.80
Wspomnienia z Melanezji,3,13.80,0.00,0.00,0.25
Wspomnienie z Bejruru w zestawie,3,17.00,0.00,0.00,
Wspomnienie z Bejrutu Shaj bil miraije,3,13.80,0.00,25.00,0.25
Wspomnienie z Istambułu,3,13.80,0.00,25.00,0.25
Wspomnienie z Jerozolimy,3,13.80,0.00,25.00,0.25
OWspomnienie z Omdurmanu w zestawie,3,17.00,0.00,0.00,0.00
Wspomnienie z Omdurmanu Shaj bil hel,3,13.80,0.00,25.00,0.25
Mięta Nana,4,0.00,0.00,15.00,0.20
Niebieski i zielony z Formosy,4,36.80,0.00,0.00,0.00
Smak Himalajów,4,32.80,0.00,0.00,0.00
Tajemnica Samuraja,4,34.80,0.00,0.00,0.00
Tajemnica Trzech Skarbów,4,29.80,0.00,0.00,0.00
Trzech Cesarzy,4,44.80,0.00,0.00,0.00
Trzy Kolory PUER,4,32.80,0.00,0.00,0.00
Bai Ya Bing Cha Biały Kołacz,5,18.80,15.80,70.00,0.50
Chi Tse Bing Cha,5,18.80,15.80,100.00,0.30
Gong Ting Puer Imperial,5,18.80,15.80,0.00,0.50
Lao Shu Bing Cha Dzik,5,21.80,18.80,90.00,0.90
mini bing cha,5,0.00,0.00,5.00,0.00
Puer Cha,5,12.80,0.00,0.00,0.23
Pu Er Mandaryn,5,15.80,12.80,16.00,0.00
Puer Peletki,5,17.80,14.80,0.00,0.50
Qing Tuo Cha Zielone gniazdo,5,17.80,14.80,33.00,0.00
Sa Bang,5,20.80,17.80,46.00,0.46
Sheng Xiao Wang,5,13.80,10.80,0.00,0.35
Tuo Cha Gniazdo,5,17.80,14.80,33.00,0.00
Zhu Ye Puer Cha Zapach bambusa,5,19.80,16.80,100.00,1.00
Zhuan Cha Cegła,5,17.80,14.80,70.00,0.28
Fajka wodna,6,39.00,0.00,0.00,0.00
Alishan Jin Xuan,7,22.80,19.80,75.00,1.50
Bai Hao,7,20.80,17.80,65.00,1.30
Wuyi Shan Da Hong Pao Wielka Purpurowa Szata,7,20.80,17.80,7.00,01.09
Feng Huang Dan Cong Feniks,7,20.80,17.80,0.00,01.09
Shan Lin Xi,7,22.80,19.80,90.00,1.80
Tie Guan Yin Supergrade  Żelazna Bogini Miłosierdzia,7,18.80,15.80,0.00,0.00
 Tie Gua Yin Jade Bio Żelazna Bogini Miłosiardzia Jadeitowa,7,19.80,16.80,0.00,0.85
Tung Ting Zamarzły Wierzchołek,7,21.80,18.80,72.00,1.44
Wu Long Czarny Smok,7,12.80,0.00,28.00,0.00
Wu Yi Shan Shui Xian Nimfa Wodna,7,17.80,14.80,33.00,0.58
Li Shan,7,22.80,19.80,80.00,1.60
Bai Mu Dan Biała Piwonia,8,16.80,13.80,0.00,0.45
Dhara White Bio,8,24.80,21.80,45.00,2.25
Rwanda Silver Needle Bio,8,21.80,18.80,0.00,1.10
Ya Bao Pączek. który jest skarbem,8,19.80,16.80,0.00,0.85
Yin Zhen Srebrne Szpilki,8,20.80,17.80,0.00,01.09
Dian Hong Golden Yunnan Złoty Yunnan,9,15.80,12.80,0.00,0.35
Hong Mu Dan,9,12.80,0.00,6.00,0.00
Jin Mao Feng Złota Korona,9,18.80,15.80,0.00,0.65
Jin Zhen Gold Złote Szpilki,9,19.80,16.80,0.00,0.85
Li Zhi,9,13.80,0.00,0.00,0.25
Migdałowa,9,13.80,0.00,0.00,0.25
Qi Hong Cha Keemun,9,12.80,0.00,0.00,0.29
Qi Hong Mao Feng Giętkie Pędy z Qi Men,9,17.80,14.80,0.00,0.65
Śliwkowa,9,13.80,0.00,0.00,0.25
Waniliowa,9,13.80,0.00,0.00,0.25
 Zheng Shan Xiao Zhong Lapsang ,9,12.80,0.00,0.00,0.29
Birma Wild Red Ni Chauk,9,15.80,12.80,0.00,0.40
Matcha KULE,10,10.00,0.00,0.00,0.00
Kandyzowany IMBIR,11,6.50,0.00,0.00,0.00
Pistacje,12,8.00,0.00,0.00,0.00
Orzeszki WASABI,13,8.00,0.00,0.00,0.00
Mieszanka egzotyczna,14,6.50,0.00,0.00,0.00
Mieszanaka orzechowo-żurawinowa,16,7.50,0.00,0.00,0.00
Ciasteczka owsiane Herbatniki,19,6.80,0.00,0.00,0.00
Lody Matcha,20,16.80,0.00,0.00,0.00
Pita wegan,21,13.50,0.00,0.00,0.00
Pita Liban,21,10.50,0.00,0.00,0.00
Pita Laphet,21,16.50,0.00,0.00,0.00
Pita TAKADA,21,5.50,0.00,0.00,0.00
Miód,25,2.00,0.00,0.00,0.00
Mleko,26,2.00,0.00,0.00,0.00
Mleko roślinne,27,2.00,0.00,0.00,0.00
Huang Ya Żółte pędy,31,21.80,18.80,0.00,01.09
Rooibos czerwony,32,11.80,0.00,0.00,0.14
Rooibos zielony,32,11.80,0.00,0.00,0.14
Sahlep,33,12.80,0.00,25.00,0.00
Sahlep Choco,33,13.80,0.00,0.00,0.00
Boston Tea Party,34,13.80,0.00,0.00,0.00
AN-Cha,35,15.80,0.00,0.00,0.00
MAN-Cha,36,15.80,0.00,0.00,0.00
Staroborszow,37,12.80,0.00,0.00,0.00
Ho-Chi-Minha lemoniada,38,12.80,0.00,0.00,0.00
MacMOLI,39,12.80,0.00,0.00,0.00
Lemoniada Assam,40,12.80,0.00,0.00,0.00
Royal Boss,41,12.80,0.00,0.00,0.00
Karkade,43,10.80,0.00,0.00,0.00
Napój owocowy ( sok),44,6.80,0.00,0.00,0.00
Woda źródlana,45,4.00,0.00,0.00,0.00
Ceramika,46,0.00,0.00,0.00,0.00
Akcesoria,47,0.00,0.00,0.00,0.00
Liście wiśni Sakura,50,24.80,21.80,100.00,2.50
filtry,51,23.00,0.00,0.00,0.00
czarka,52,0.00,0.00,0.00,0.00
termometr,53,0.00,0.00,0.00,0.00
zaparzacz,54,0.00,0.00,0.00,0.00
bombilla,55,0.00,0.00,0.00,0.00
matero,56,0.00,0.00,0.00,0.00
czajnik,57,0.00,0.00,0.00,0.00
książka,58,42.00,0.00,0.00,0.00
danie indyjskie,60,18.80,0.00,0.00,0.00
zestaw świąteczny,61,0.00,0.00,0.00,0.00
Yogi Masala Tea,17,16.80,0.00,29.00,0.00
Wspomnienia z Bombaju,F2,16.80,0.00,25.00,0.25
Aromat Kaszmiru,F3,13.80,0.00,29.00,0.25
Baklava ,F4,9.00,0.00,0.00,0.00
Marlenka,F5,10.00,0.00,0.00,0.00
Che Xahn - Wspomnienia z aresztu,,13.00,0.00,0.00,0.00
tulipan szklanka,,12.50,0.00,0.00,0.00
Lemoniada lawendowa,63,13.80,0.00,0.00,0.00
Lemoniada z Werbeną Cytrynową,64,13.80,0.00,0.00,0.00
Lemoniada Mate,65,12.80,0.00,0.00,0.00
